window,model,n_targets,recall@5,recall@10,recall@20,ndcg@5,ndcg@10,ndcg@20,map@10,mrr,hitrate@10,coverage_catalogue,diversity,n_orders,mean_recommendations
2,association,5338,0.0189209441738478,0.0410266017234919,0.0867366054702135,0.0109897950391981,0.0180595593674221,0.0294196673536852,0.0112664811147388,0.0112664811147388,0.0410266017234919,0.6233333333333333,9.939490445859873,5338,10.0
2,bm25,5338,0.0309104533533158,0.0573248407643312,0.106219557886849,0.0174323357061057,0.0258661746601699,0.0380319686462706,0.0164913736195115,0.0164913736195115,0.0573248407643312,0.6233333333333333,9.939490445859873,5338,10.0
2,category,5338,0.2309853877856875,0.4374297489696515,0.7270513300861746,0.1462018193507149,0.2126396709771649,0.2843245341098788,0.1459588931113846,0.1459588931113846,0.4374297489696515,0.3066666666666666,10.0,5338,10.0
2,cooccurrence,5338,0.0382165605095541,0.0717497189958786,0.1311352566504308,0.0218279793232721,0.0325040096560219,0.0473511116298039,0.0208169785961093,0.0208169785961093,0.0717497189958786,0.5866666666666667,9.939490445859873,5338,10.0
2,global,5338,0.0365305357811914,0.0730610715623829,0.1393780442113151,0.020861075636183,0.0321702420252579,0.0486990392604302,0.0200364115922377,0.0200364115922377,0.0730610715623829,0.0433333333333333,10.0,5338,10.0
2,reference,5338,0.2309853877856875,0.4374297489696515,0.7270513300861746,0.1462018193507149,0.2126396709771649,0.2843245341098788,0.1459588931113846,0.1459588931113846,0.4374297489696515,0.3066666666666666,10.0,5338,10.0
2,rrf,5338,0.2304233795428999,0.4342450355938553,0.7128137879355564,0.1463511849377929,0.2120154540785584,0.281366062301453,0.1458309544624644,0.1458309544624644,0.4342450355938553,0.3833333333333333,10.0,5338,10.0
3,association,5338,0.0211689771449981,0.0391532409142,0.0781191457474709,0.0120749817529474,0.0178172279212468,0.02753279763322,0.01146630626773,0.01146630626773,0.0391532409142,0.7666666666666667,9.952603971524915,5338,10.0
3,bm25,5338,0.025103034844511,0.0494567253653053,0.0931060322218059,0.0139394656224786,0.0218181275861373,0.0327298296715336,0.0135577054601033,0.0135577054601033,0.0494567253653053,0.7566666666666667,9.952603971524915,5338,10.0
3,category,5338,0.1937055076807793,0.3604346197077557,0.6277632071937055,0.1266828144780666,0.1801766998410673,0.246717726546569,0.1267985007166348,0.1267985007166348,0.3604346197077557,0.31,10.0,5338,10.0
3,cooccurrence,5338,0.0307231172723866,0.060134881978269,0.1137130011240164,0.0173939561496763,0.0268759569351734,0.0403483658693874,0.0169275990651037,0.0169275990651037,0.060134881978269,0.7033333333333334,9.952603971524915,5338,10.0
3,global,5338,0.0322218059198201,0.0490820532034469,0.105282877482203,0.0164847718310799,0.0217260813785759,0.0359246224224176,0.0133940094084342,0.0133940094084342,0.0490820532034469,0.04,10.0,5338,10.0
3,reference,5338,0.1937055076807793,0.3604346197077557,0.6277632071937055,0.1266828144780666,0.1801766998410673,0.246717726546569,0.1267985007166348,0.1267985007166348,0.3604346197077557,0.31,10.0,5338,10.0
3,rrf,5338,0.1938928437617085,0.3589359310603222,0.6167103784188834,0.1257525173532644,0.1787607593726936,0.2431495269120845,0.1252419757712002,0.1252419757712002,0.3589359310603222,0.38,10.0,5338,10.0
4,association,5338,0.0136755339078306,0.0301611090295991,0.0635069314349943,0.0080796504029578,0.0133675968453408,0.0216638035966172,0.0084236560866384,0.0084236560866384,0.0301611090295991,0.9233333333333332,9.941363806669164,5338,10.0
4,bm25,5338,0.0228550018733608,0.0485200449606594,0.0856125889846384,0.0133921891648933,0.0214718432391202,0.0307802618618604,0.0135413507228793,0.0135413507228793,0.0485200449606594,0.9133333333333332,9.941363806669164,5338,10.0
4,category,5338,0.1721618583739228,0.3345822405395279,0.5698763581865868,0.1105705337436888,0.1629726979974805,0.2216766621947872,0.1120645922912689,0.1120645922912689,0.3345822405395279,0.3133333333333333,10.0,5338,10.0
4,cooccurrence,5338,0.0303484451105282,0.0582615211689771,0.1064068939677782,0.0174636570304282,0.0263385717165263,0.0383326225367652,0.0168669378579457,0.0168669378579457,0.0582615211689771,0.8166666666666667,9.941363806669164,5338,10.0
4,global,5338,0.0262270513300861,0.0445859872611464,0.094230048707381,0.0128954823160026,0.0186341306609629,0.0310694766744989,0.0108756028950858,0.0108756028950858,0.0445859872611464,0.0433333333333333,10.0,5338,10.0
4,reference,5338,0.1721618583739228,0.3345822405395279,0.5698763581865868,0.1105705337436888,0.1629726979974805,0.2216766621947872,0.1120645922912689,0.1120645922912689,0.3345822405395279,0.3133333333333333,10.0,5338,10.0
4,rrf,5338,0.1734732109404271,0.3289621581116523,0.5693143499437991,0.1104714555467297,0.1604843398046671,0.2206035103786119,0.110447034440103,0.110447034440103,0.3289621581116523,0.3766666666666666,10.0,5338,10.0
