unique_id,remise_aucune_remise,remise_frequente_produit,remise_frequente_categorie,remise_meilleure_descriptive,y_moyen_historique,support
PRD000000,0.0,0.0,0.0,0.0,0.8197278911564626,294
PRD000001,0.0,0.0,0.0,0.0,0.6597222222222222,144
PRD000002,0.0,0.0,0.0,25.0,2.189189189189189,37
PRD000003,0.0,0.0,0.0,15.0,1.5,24
PRD000004,0.0,0.0,0.0,5.0,1.9545454545454546,22
PRD000005,0.0,0.0,0.0,10.0,1.7857142857142858,28
PRD000006,0.0,0.0,0.0,15.0,2.1481481481481484,27
PRD000007,0.0,0.0,0.0,0.0,1.4939024390243902,328
PRD000008,0.0,0.0,0.0,15.0,1.4137931034482758,29
PRD000009,0.0,0.0,0.0,0.0,2.1157894736842104,190
PRD000010,0.0,0.0,0.0,20.0,1.0,30
PRD000011,0.0,0.0,0.0,10.0,1.9583333333333333,24
PRD000012,0.0,0.0,0.0,0.0,1.106029106029106,481
PRD000013,0.0,0.0,0.0,0.0,1.0555555555555556,144
PRD000014,0.0,0.0,0.0,0.0,1.1920529801324504,302
PRD000015,0.0,0.0,0.0,0.0,0.908256880733945,218
PRD000016,0.0,0.0,0.0,10.0,1.8333333333333333,24
PRD000017,0.0,0.0,0.0,0.0,0.7213114754098361,61
PRD000018,0.0,0.0,0.0,25.0,3.3,20
PRD000019,0.0,0.0,0.0,0.0,1.3826638477801267,473
PRD000020,0.0,0.0,0.0,0.0,1.1977077363896849,349
PRD000021,0.0,0.0,0.0,15.0,1.5862068965517242,29
PRD000022,0.0,0.0,0.0,10.0,2.3214285714285716,28
PRD000023,0.0,0.0,0.0,0.0,1.8585858585858586,198
PRD000024,0.0,0.0,0.0,15.0,2.111111111111111,27
PRD000025,0.0,0.0,0.0,0.0,1.9560810810810811,296
PRD000026,0.0,0.0,0.0,25.0,2.5945945945945947,37
PRD000027,0.0,0.0,0.0,0.0,1.3267326732673268,404
PRD000028,0.0,0.0,0.0,0.0,1.8184713375796178,314
PRD000029,0.0,0.0,0.0,15.0,1.0344827586206897,29
PRD000030,0.0,0.0,0.0,15.0,1.9583333333333333,24
PRD000031,0.0,0.0,0.0,20.0,0.8461538461538461,39
PRD000032,0.0,0.0,0.0,0.0,1.9437229437229437,231
PRD000033,0.0,0.0,0.0,15.0,1.1481481481481481,27
PRD000034,0.0,0.0,0.0,0.0,0.6363636363636364,88
PRD000035,0.0,0.0,0.0,5.0,2.409090909090909,22
PRD000036,0.0,0.0,0.0,0.0,1.5178571428571428,56
PRD000037,0.0,0.0,0.0,25.0,1.0810810810810811,37
PRD000038,0.0,0.0,0.0,20.0,2.6666666666666665,30
PRD000039,0.0,0.0,0.0,10.0,1.7083333333333333,24
PRD000040,0.0,0.0,0.0,0.0,0.6901408450704225,71
PRD000041,0.0,0.0,0.0,0.0,0.6283783783783784,148
PRD000042,0.0,0.0,0.0,0.0,2.2839506172839505,81
PRD000043,0.0,0.0,0.0,0.0,1.6706586826347305,501
PRD000044,0.0,0.0,0.0,0.0,1.368421052631579,133
PRD000045,0.0,0.0,0.0,0.0,1.4067796610169492,59
PRD000046,0.0,0.0,0.0,0.0,0.6474358974358975,156
PRD000047,0.0,0.0,0.0,5.0,1.0454545454545454,22
PRD000048,0.0,0.0,0.0,15.0,1.1111111111111112,27
PRD000049,0.0,0.0,0.0,0.0,1.5800415800415801,481
PRD000050,0.0,0.0,0.0,0.0,1.2032520325203253,123
PRD000051,0.0,0.0,0.0,10.0,1.8333333333333333,24
