fenetre,politique,type,quantite_totale,ca_total_xof,marge_totale_xof,taux_marge_negative,violations_garde_fous,n_lignes
1,historique,observe_reel,19147.0,1400588214.0,340427811.0,0.005993690851735016,,15850
1,aucune_remise,simule_contrefactuel_non_applique,19244.17875646138,1502569368.5468042,389468084.0871217,0.0,0.0,15850
1,remise_frequente_produit,simule_contrefactuel_non_applique,19244.17875646138,1502569368.5468042,389468084.0871217,0.0,0.0,15850
1,meilleure_remise_descriptive,simule_contrefactuel_non_applique,23527.80558058591,1613732054.106984,278586905.9932685,0.01892744479495268,1680.0,15850
1,simulateur_lightgbm_marge,simule_contrefactuel_non_applique,20767.14284953722,1578772752.145517,397241451.7863537,0.0,0.0,15850
2,historique,observe_reel,21789.0,1633320320.0,364767461.0,0.008294821661334282,,16878
2,aucune_remise,simule_contrefactuel_non_applique,20405.869304014916,1592441074.9185524,408246652.7652724,0.0,0.0,16878
2,remise_frequente_produit,simule_contrefactuel_non_applique,20409.277552748033,1592392890.3931208,407914936.0277323,0.0,0.0,16878
2,meilleure_remise_descriptive,simule_contrefactuel_non_applique,25741.236120278925,1764740043.3211403,285972237.78356093,0.03199431212228937,2040.0,16878
2,simulateur_lightgbm_marge,simule_contrefactuel_non_applique,21823.01701264496,1651006554.3864417,411205394.5737991,0.0,0.0,16878
3,historique,observe_reel,21021.0,1646757641.0,405506015.0,0.00011590843233845262,,17255
3,aucune_remise,simule_contrefactuel_non_applique,20800.325598976106,1631726340.4075308,415543904.9308957,0.0,0.0,17255
3,remise_frequente_produit,simule_contrefactuel_non_applique,20805.002541203656,1631746291.1604905,415493238.5331619,0.0,0.0,17255
3,meilleure_remise_descriptive,simule_contrefactuel_non_applique,27813.526370383817,1855685706.255826,277367277.3936423,0.03824978267168937,2280.0,17255
3,simulateur_lightgbm_marge,simule_contrefactuel_non_applique,22662.659037550966,1710779670.024832,424743187.58948374,0.0,0.0,17255
