unique_id,categorie,groupe,raison,n_jours_promo,n_jours_hors_promo,n_niveaux_reels,volume_total,etalement_jours,mois_couverts,jours_promo_ok,jours_hors_promo_ok,niveaux_reels_ok,volume_ok,etalement_ok,mois_couverts_ok
PRD000000,Electronique & High-Tech,eligible_pooling_categorie,"historique individuel insuffisant (jours_promo_ok, niveaux_reels_ok, etalement_ok), catégorie utilisée",14,294,1,253.0,14,2,False,True,False,True,False,True
PRD000001,Bebe & Enfant,eligible_individuel,tous les critères individuels satisfaits,33,144,4,136.0,96,4,True,True,True,True,True,True
PRD000002,Telephonie & Accessoires,eligible_individuel,tous les critères individuels satisfaits,101,439,5,759.0,455,11,True,True,True,True,True,True
PRD000003,Maison & Cuisine,eligible_individuel,tous les critères individuels satisfaits,106,440,4,498.0,455,10,True,True,True,True,True,True
PRD000004,Electronique & High-Tech,eligible_individuel,tous les critères individuels satisfaits,65,481,3,805.0,460,7,True,True,True,True,True,True
PRD000005,Electronique & High-Tech,eligible_individuel,tous les critères individuels satisfaits,65,481,3,724.0,460,7,True,True,True,True,True,True
PRD000006,Bebe & Enfant,eligible_individuel,tous les critères individuels satisfaits,80,466,6,580.0,412,9,True,True,True,True,True,True
PRD000007,Telephonie & Accessoires,eligible_individuel,tous les critères individuels satisfaits,42,328,4,587.0,137,5,True,True,True,True,True,True
PRD000008,Sport & Loisirs,eligible_individuel,tous les critères individuels satisfaits,73,473,4,588.0,355,7,True,True,True,True,True,True
PRD000009,Telephonie & Accessoires,eligible_individuel,tous les critères individuels satisfaits,42,190,4,530.0,137,5,True,True,True,True,True,True
PRD000010,Mode & Vetements,eligible_individuel,tous les critères individuels satisfaits,70,476,5,505.0,513,6,True,True,True,True,True,True
PRD000011,Alimentation & Epicerie,eligible_individuel,tous les critères individuels satisfaits,37,383,3,791.0,348,6,True,True,True,True,True,True
PRD000012,Electronique & High-Tech,eligible_individuel,tous les critères individuels satisfaits,65,481,3,588.0,460,7,True,True,True,True,True,True
PRD000013,Beaute & Soins,eligible_pooling_categorie,"historique individuel insuffisant (jours_promo_ok, etalement_ok), catégorie utilisée",19,144,2,172.0,50,2,False,True,True,True,False,True
PRD000014,Beaute & Soins,eligible_individuel,tous les critères individuels satisfaits,36,302,3,402.0,276,5,True,True,True,True,True,True
PRD000015,Sport & Loisirs,eligible_pooling_categorie,"historique individuel insuffisant (jours_promo_ok), catégorie utilisée",22,218,2,235.0,63,3,False,True,True,True,True,True
PRD000016,Alimentation & Epicerie,eligible_individuel,tous les critères individuels satisfaits,30,279,2,493.0,239,5,True,True,True,True,True,True
PRD000017,Beaute & Soins,eligible_pooling_categorie,"historique individuel insuffisant (jours_promo_ok, niveaux_reels_ok, etalement_ok, mois_couverts_ok), catégorie utilisée",6,61,1,52.0,6,1,False,True,False,True,False,False
PRD000018,Mode & Vetements,eligible_individuel,tous les critères individuels satisfaits,74,472,5,1152.0,513,6,True,True,True,True,True,True
PRD000019,Sport & Loisirs,eligible_individuel,tous les critères individuels satisfaits,73,473,4,743.0,355,7,True,True,True,True,True,True
PRD000020,Telephonie & Accessoires,eligible_individuel,tous les critères individuels satisfaits,67,349,5,508.0,317,7,True,True,True,True,True,True
PRD000021,Sport & Loisirs,eligible_individuel,tous les critères individuels satisfaits,73,473,4,550.0,355,7,True,True,True,True,True,True
PRD000022,Electronique & High-Tech,eligible_individuel,tous les critères individuels satisfaits,65,481,3,793.0,460,7,True,True,True,True,True,True
PRD000023,Mode & Vetements,eligible_pooling_categorie,"historique individuel insuffisant (jours_promo_ok), catégorie utilisée",22,198,2,420.0,97,2,False,True,True,True,True,True
