fenetre,modele,avg_n_targets_par_client_evaluable,avg_popularite_des_recommandations
0,popularite_globale,1.8510975932293043,0.8549069170682662
0,popularite_recente,1.8510975932293043,0.8495397840952452
0,popularite_categorie,1.8510975932293043,0.6210853383026018
0,collaboratif_item_item,1.8510975932293043,0.5018812422901975
0,contenu_categorie_prix,1.8510975932293043,0.47026837683798656
1,popularite_globale,2.393312101910828,0.9340066281289586
1,popularite_recente,2.393312101910828,0.7100882709771807
1,popularite_categorie,2.393312101910828,0.6755545594033792
1,collaboratif_item_item,2.393312101910828,0.8995275116415994
1,contenu_categorie_prix,2.393312101910828,0.3926945619011936
2,popularite_globale,2.632090046347385,0.9315976792382852
2,popularite_recente,2.632090046347385,0.6943255996209571
2,popularite_categorie,2.632090046347385,0.6834345550456669
2,collaboratif_item_item,2.632090046347385,0.9062178452868725
2,contenu_categorie_prix,2.632090046347385,0.3785899783071826
3,popularite_globale,2.627148523578669,0.91590889961793
3,popularite_recente,2.627148523578669,0.634117212378677
3,popularite_categorie,2.627148523578669,0.6738754444507037
3,collaboratif_item_item,2.627148523578669,0.8995288905383778
3,contenu_categorie_prix,2.627148523578669,0.3845464366071636
