segment,precision_at_5,recall_at_5,ndcg_at_5,precision_at_10,recall_at_10,ndcg_at_10,map_at_10,modele,fenetre,policy_combo
actif,0.021497326203208558,0.05797682709447416,0.03937961087216098,0.02085561497326203,0.11140819964349377,0.05941162536793822,0.03287381871940696,popularite_globale,0,defaut_exclut_achats_stock_filtre
cold_start,0.02092050209205021,0.055904230590423064,0.04029839913526463,0.020223152022315203,0.1110413761041376,0.06033093798243182,0.03436732084744637,popularite_globale,0,defaut_exclut_achats_stock_filtre
peu_actif,0.020938023450586266,0.05913695461434155,0.04296054958135234,0.01901172529313233,0.10656855707106964,0.060559479624271724,0.03620266234169082,popularite_globale,0,defaut_exclut_achats_stock_filtre
actif,0.020534759358288773,0.05532085561497326,0.038174382297629886,0.021069518716577543,0.11463458110516934,0.06044574839311934,0.033394331975214325,popularite_recente,0,defaut_exclut_achats_stock_filtre
cold_start,0.020362622036262205,0.053161320316132035,0.039464638675537365,0.021199442119944213,0.11534170153417016,0.06250772568953535,0.03536014994871341,popularite_recente,0,defaut_exclut_achats_stock_filtre
peu_actif,0.019262981574539362,0.05406995293929967,0.04058478122641013,0.0195142378559464,0.10950785674403764,0.060995795726407086,0.03604522280715748,popularite_recente,0,defaut_exclut_achats_stock_filtre
actif,0.015828877005347596,0.04549019607843137,0.031262009744293065,0.01342245989304813,0.07626559714795009,0.042640781999609585,0.02544925798602269,popularite_categorie,0,defaut_exclut_achats_stock_filtre
cold_start,0.02092050209205021,0.055904230590423064,0.04029839913526463,0.020223152022315203,0.1110413761041376,0.06033093798243182,0.03436732084744637,popularite_categorie,0,defaut_exclut_achats_stock_filtre
peu_actif,0.017755443886097153,0.04987437185929648,0.03631754324048956,0.014656616415410386,0.08306811836962591,0.04834518096206271,0.029934189244281373,popularite_categorie,0,defaut_exclut_achats_stock_filtre
actif,0.009732620320855614,0.02573083778966132,0.019165749108747174,0.011764705882352941,0.06765597147950089,0.03445196001957201,0.01878561525620349,collaboratif_item_item,0,defaut_exclut_achats_stock_filtre
cold_start,0.015899581589958158,0.04160855416085541,0.029331062064847476,0.015899581589958158,0.08458856345885635,0.04539272819647542,0.024781478529735154,collaboratif_item_item,0,defaut_exclut_achats_stock_filtre
peu_actif,0.010887772194304857,0.0304857621440536,0.021811901139217514,0.011725293132328308,0.06778336125069793,0.03546012321915504,0.02042157990127002,collaboratif_item_item,0,defaut_exclut_achats_stock_filtre
actif,0.01197860962566845,0.03210338680926916,0.0226808580993896,0.01229946524064171,0.06765151515151514,0.035965672305956604,0.020081840817134936,contenu_categorie_prix,0,defaut_exclut_achats_stock_filtre
cold_start,0.015899581589958158,0.04160855416085541,0.029331062064847476,0.015899581589958158,0.08458856345885635,0.04539272819647542,0.024781478529735154,contenu_categorie_prix,0,defaut_exclut_achats_stock_filtre
peu_actif,0.011222780569514238,0.029438860971524285,0.020028178494246852,0.01273031825795645,0.06850921273031825,0.03454821240240331,0.018024314695168967,contenu_categorie_prix,0,defaut_exclut_achats_stock_filtre
actif,0.02213903743315508,0.06038324420677362,0.040774172203897834,0.02096256684491979,0.11361853832442068,0.06059860011634912,0.03381139829669241,popularite_globale,0,inclut_produits_deja_achetes
cold_start,0.02092050209205021,0.055904230590423064,0.04029839913526463,0.020223152022315203,0.1110413761041376,0.06033093798243182,0.03436732084744637,popularite_globale,0,inclut_produits_deja_achetes
peu_actif,0.021105527638190957,0.05955571508335327,0.04275750586423436,0.018844221105527637,0.10587062295605008,0.05985753729548803,0.035650574300071784,popularite_globale,0,inclut_produits_deja_achetes
actif,0.020427807486631016,0.055098039215686276,0.03846475537765326,0.021176470588235297,0.11690730837789662,0.061586105094143376,0.03425047746371276,popularite_recente,0,inclut_produits_deja_achetes
cold_start,0.020362622036262205,0.053161320316132035,0.039464638675537365,0.021199442119944213,0.11534170153417016,0.06250772568953535,0.03536014994871341,popularite_recente,0,inclut_produits_deja_achetes
peu_actif,0.019095477386934675,0.053232432001276225,0.03997155431607294,0.019430485762144057,0.10980697136476031,0.0606261835979212,0.0356101772087953,popularite_recente,0,inclut_produits_deja_achetes
actif,0.016042780748663103,0.04598039215686275,0.03205879597515842,0.01358288770053476,0.07825311942959003,0.04389123732864805,0.026429593554593553,popularite_categorie,0,inclut_produits_deja_achetes
cold_start,0.02092050209205021,0.055904230590423064,0.04029839913526463,0.020223152022315203,0.1110413761041376,0.06033093798243182,0.03436732084744637,popularite_categorie,0,inclut_produits_deja_achetes
peu_actif,0.017755443886097153,0.04903685092127303,0.03518820717670633,0.014489112227805696,0.0815326633165829,0.047059024524587045,0.028728364042434396,popularite_categorie,0,inclut_produits_deja_achetes
actif,0.01037433155080214,0.027201426024955438,0.020167928224461736,0.01181818181818182,0.06832442067736186,0.03501850871830389,0.019234855558384972,collaboratif_item_item,0,inclut_produits_deja_achetes
cold_start,0.015899581589958158,0.04160855416085541,0.029331062064847476,0.015899581589958158,0.08458856345885635,0.04539272819647542,0.024781478529735154,collaboratif_item_item,0,inclut_produits_deja_achetes
peu_actif,0.010887772194304857,0.0304857621440536,0.021811901139217514,0.011725293132328308,0.06778336125069793,0.03546012321915504,0.02042157990127002,collaboratif_item_item,0,inclut_produits_deja_achetes
actif,0.012192513368983958,0.03346702317290553,0.024234293282873427,0.012459893048128343,0.06981729055258468,0.03765846146925886,0.02167416107857284,contenu_categorie_prix,0,inclut_produits_deja_achetes
cold_start,0.015899581589958158,0.04160855416085541,0.029331062064847476,0.015899581589958158,0.08458856345885635,0.04539272819647542,0.024781478529735154,contenu_categorie_prix,0,inclut_produits_deja_achetes
peu_actif,0.009882747068676718,0.02664712451144612,0.019566396221798985,0.012060301507537688,0.06550809603573422,0.03424546957853563,0.018700302659682894,contenu_categorie_prix,0,inclut_produits_deja_achetes
actif,0.021497326203208558,0.05797682709447416,0.03937961087216098,0.02085561497326203,0.11140819964349377,0.05941162536793822,0.03287381871940696,popularite_globale,0,sans_filtre_stock
cold_start,0.02092050209205021,0.055904230590423064,0.04029839913526463,0.020223152022315203,0.1110413761041376,0.06033093798243182,0.03436732084744637,popularite_globale,0,sans_filtre_stock
peu_actif,0.020938023450586266,0.05913695461434155,0.04296054958135234,0.01901172529313233,0.10656855707106964,0.060559479624271724,0.03620266234169082,popularite_globale,0,sans_filtre_stock
actif,0.020534759358288773,0.05532085561497326,0.038174382297629886,0.021069518716577543,0.11463458110516934,0.06044574839311934,0.033394331975214325,popularite_recente,0,sans_filtre_stock
cold_start,0.020362622036262205,0.053161320316132035,0.039464638675537365,0.021199442119944213,0.11534170153417016,0.06250772568953535,0.03536014994871341,popularite_recente,0,sans_filtre_stock
peu_actif,0.019262981574539362,0.05406995293929967,0.04058478122641013,0.0195142378559464,0.10950785674403764,0.060995795726407086,0.03604522280715748,popularite_recente,0,sans_filtre_stock
actif,0.015828877005347596,0.04549019607843137,0.031262009744293065,0.01342245989304813,0.07626559714795009,0.042640781999609585,0.02544925798602269,popularite_categorie,0,sans_filtre_stock
cold_start,0.02092050209205021,0.055904230590423064,0.04029839913526463,0.020223152022315203,0.1110413761041376,0.06033093798243182,0.03436732084744637,popularite_categorie,0,sans_filtre_stock
peu_actif,0.017755443886097153,0.04987437185929648,0.03631754324048956,0.014656616415410386,0.08306811836962591,0.04834518096206271,0.029934189244281373,popularite_categorie,0,sans_filtre_stock
actif,0.009732620320855614,0.02573083778966132,0.019165749108747174,0.011764705882352941,0.06765597147950089,0.03445196001957201,0.01878561525620349,collaboratif_item_item,0,sans_filtre_stock
cold_start,0.015899581589958158,0.04160855416085541,0.029331062064847476,0.015899581589958158,0.08458856345885635,0.04539272819647542,0.024781478529735154,collaboratif_item_item,0,sans_filtre_stock
peu_actif,0.010887772194304857,0.0304857621440536,0.021811901139217514,0.011725293132328308,0.06778336125069793,0.03546012321915504,0.02042157990127002,collaboratif_item_item,0,sans_filtre_stock
actif,0.01197860962566845,0.03210338680926916,0.0226808580993896,0.01229946524064171,0.06765151515151514,0.035965672305956604,0.020081840817134936,contenu_categorie_prix,0,sans_filtre_stock
cold_start,0.015899581589958158,0.04160855416085541,0.029331062064847476,0.015899581589958158,0.08458856345885635,0.04539272819647542,0.024781478529735154,contenu_categorie_prix,0,sans_filtre_stock
peu_actif,0.011222780569514238,0.029438860971524285,0.020028178494246852,0.01273031825795645,0.06850921273031825,0.03454821240240331,0.018024314695168967,contenu_categorie_prix,0,sans_filtre_stock
actif,0.01682474226804124,0.036565210276550485,0.027262875428857258,0.015381443298969073,0.06420831287841597,0.03868134610779429,0.02075477008672885,popularite_globale,1,defaut_exclut_achats_stock_filtre
peu_actif,0.016641298833079656,0.034923654900823844,0.026542192257644887,0.016336884830035515,0.06777681138411731,0.03993644969195605,0.020830023818535815,popularite_globale,1,defaut_exclut_achats_stock_filtre
actif,0.01731958762886598,0.036380134184257895,0.027014460518107596,0.015340206185567012,0.06403060055637375,0.03801546589060179,0.019905320226601523,popularite_recente,1,defaut_exclut_achats_stock_filtre
peu_actif,0.016641298833079656,0.035287864511608806,0.027310367534244682,0.016539827498731608,0.07068223365788054,0.041384867501653516,0.022225047581465644,popularite_recente,1,defaut_exclut_achats_stock_filtre
actif,0.012948453608247423,0.02512714776632302,0.020795423783062122,0.012288659793814433,0.04715169366715759,0.03000692253617738,0.016213312060219278,popularite_categorie,1,defaut_exclut_achats_stock_filtre
peu_actif,0.014307458143074582,0.029948539537580633,0.02287667304851388,0.011618467782851345,0.04821458771230461,0.03028243370179194,0.016569470282052728,popularite_categorie,1,defaut_exclut_achats_stock_filtre
actif,0.015340206185567012,0.03145115365733922,0.025234852189792364,0.014927835051546393,0.061716903943708074,0.03768880354478792,0.020251557301041837,collaboratif_item_item,1,defaut_exclut_achats_stock_filtre
peu_actif,0.016032470826991375,0.034598705032494986,0.025721926887747867,0.014510400811770675,0.06032168828972482,0.036380141881321396,0.019469822344632084,collaboratif_item_item,1,defaut_exclut_achats_stock_filtre
actif,0.010309278350515464,0.02120274914089347,0.016396426215565852,0.010391752577319589,0.043926035018818525,0.025456184772169294,0.012919968674755125,contenu_categorie_prix,1,defaut_exclut_achats_stock_filtre
peu_actif,0.009741248097412482,0.020025689964807164,0.015199181202287996,0.010147133434804667,0.042971499440297004,0.024242031898411332,0.012419252440815098,contenu_categorie_prix,1,defaut_exclut_achats_stock_filtre
actif,0.01715463917525773,0.03760988381606938,0.027789342146504747,0.016082474226804123,0.068151039109802,0.04024623744633921,0.021452556669861532,popularite_globale,1,inclut_produits_deja_achetes
peu_actif,0.015829528158295282,0.03432328283926458,0.02593175529724055,0.015880263825469306,0.06725254282331908,0.03932584869096375,0.020735931302449384,popularite_globale,1,inclut_produits_deja_achetes
