fenetre,produit,raison
0,PRD000187,produit_non_encore_disponible
0,PRD000204,produit_non_encore_disponible
0,PRD000278,produit_non_encore_disponible
0,PRD000213,produit_non_encore_disponible
0,PRD000236,produit_non_encore_disponible
0,PRD000148,produit_non_encore_disponible
0,PRD000236,produit_non_encore_disponible
0,PRD000278,produit_non_encore_disponible
0,PRD000278,produit_non_encore_disponible
0,PRD000071,produit_non_encore_disponible
0,PRD000148,produit_non_encore_disponible
0,PRD000079,produit_non_encore_disponible
0,PRD000174,produit_non_encore_disponible
0,PRD000079,produit_non_encore_disponible
0,PRD000079,produit_non_encore_disponible
0,PRD000039,produit_non_encore_disponible
0,PRD000275,produit_non_encore_disponible
0,PRD000213,produit_non_encore_disponible
0,PRD000079,produit_non_encore_disponible
0,PRD000174,produit_non_encore_disponible
0,PRD000071,produit_non_encore_disponible
0,PRD000147,produit_non_encore_disponible
0,PRD000071,produit_non_encore_disponible
0,PRD000027,produit_non_encore_disponible
0,PRD000071,produit_non_encore_disponible
0,PRD000020,produit_non_encore_disponible
0,PRD000238,produit_non_encore_disponible
0,PRD000213,produit_non_encore_disponible
0,PRD000147,produit_non_encore_disponible
0,PRD000148,produit_non_encore_disponible
